Cikk neve,Vonalkód,Cikkszám,Rövid név,Vtsz/Szj,Egység,ÁFA,Nettó Alapár(Ft),Bruttó Alapár(Ft),Nettó Alapár(EUR),Bruttó Alapár(EUR),Csoport
Perma Star Vario elemkészlet,,101351,,85061011,db,27%,"950,00","1 206,50","2,87","3,64",
Perma Star Control Hajtásegység (time),,101366,,85011099,db,27%,"25 600,00","32 512,00","78,95","100,27",
Perma Star Control Hajtásegység (impulse),,101367,,85011099,db,27%,"25 600,00","32 512,00","78,95","100,27",
Perma tartó általános,,101388,,731819,db,27%,"1 700,00","2 159,00","5,26","6,68",
Tömlőcsatlakozó A202,,101390,,391740,db,27%,"850,00","1 079,50","2,67","3,39",
Tömlőcsatlakozó A203,,101391,,391740,db,27%,"850,00","1 079,50","2,67","3,39",
Nylon tömlő A250,,101393,,391729,m,27%,"0,00","0,00","4,18","5,31",
Kenőkefe 40x30 mm,,101397,,391740,db,27%,"2 850,00","3 619,50","8,88","11,28",
Kenőkefe 60x30 mm,,101398,,391740,db,27%,"0,00","0,00","0,00","0,00",
Perma Star Control kábel 5 m,,101451,,85444290,db,27%,"4 100,00","5 207,00","0,00","0,00",
"Winkel 15, G1/4",,101492,,,db,0%,"0,00","0,00","0,00","0,00",
Kenőanyag 400 gr-os patronban SF01,,101585,,27101999,db,27%,"3 200,00","4 064,00","9,75","12,38",
Kenőanyag 400 gr-os patronban SF02,,101588,,27101999,db,27%,"3 900,00","4 953,00","12,00","15,24",
Kenőanyag 400 gr-os patronban SF03,,101589,,27101999,db,27%,"17 500,00","22 225,00","53,39","67,81",
Kenőanyag 400 gr-os patronban SF04,,101590,,27101999,db,27%,"4 350,00","5 524,50","13,35","16,95",
Kenőanyag 400 gr-os patronban SF05,,101591,,27101999,db,27%,"4 500,00","5 715,00","13,84","17,58",
Kenőanyag 400 gr-os patronban SF06,,101592,,27101999,db,27%,"3 500,00","4 445,00","10,74","13,64",
Kenőanyag 400 gr-os patronban SF08,,101593,,27101999,db,27%,"11 000,00","13 970,00","33,63","42,71",
Kenőanyag 400 gr-os patronban SF09,,101594,,27101999,db,27%,"6 200,00","7 874,00","19,00","24,13",
Kenőanyag 400 gr-os patronban SF10,,101595,,27101999,db,27%,"6 000,00","7 620,00","18,44","23,42",
Perma Star Control Hajtásegys. Fedél Gen 1.0,,103548,,,db,27%,"1 300,00","1 651,00","0,00","0,00",
Perma Star LC S60 SF01,,104044,,27101999,db,27%,"4 700,00","5 969,00","14,56","18,49",
Perma Star LC S60 SF02,,104048,,27101999,db,27%,"5 300,00","6 731,00","17,05","21,65",
Perma Star LC S60 SF03,,104051,,27101999,db,27%,"8 900,00","11 303,00","26,10","33,15",
Perma Star LC S60 SF04,,104054,,27101999,db,27%,"5 450,00","6 921,50","16,80","21,34",
Perma Star LC S60 SF05,,104057,,27101999,db,27%,"5 500,00","6 985,00","16,90","21,46",
Perma Star LC S60 SF06,,104061,,27101999,db,27%,"5 200,00","6 604,00","16,76","21,29",
Perma Star LC S60 SF08,,104063,,27101999,db,27%,"7 900,00","10 033,00","24,40","30,99",
Perma Star LC S60 SF09,,104065,,27101999,db,27%,"5 950,00","7 556,50","18,29","23,23",
Perma Star LC S60 SF10,,104069,,27101999,db,27%,"5 900,00","7 493,00","18,07","22,95",
Perma Star LC S60 SO14,,104180,,27101999,db,27%,"5 650,00","7 175,50","17,37","22,06",
Perma Star LC S60 SO32,,104188,,27101999,db,27%,"5 100,00","6 477,00","15,73","19,98",
Perma Star LC S60 SO64,,104198,,27101999,db,27%,"6 200,00","7 874,00","19,03","24,17",
